datetime,open,high,low,close,volume
2025-10-07 09:00:00,100,100.5,99.5,100.156176772181,1015
2025-10-07 09:01:00,100.1,100.6,99.6,100.055100433647,1169
2025-10-07 09:02:00,100.2,100.7,99.7,100.167056399615,1074
2025-10-07 09:03:00,100.3,100.8,99.8,100.329103520293,1002
2025-10-07 09:04:00,100.4,100.9,99.9,100.21425005147,1152
2025-10-07 09:05:00,100.5,101,100,100.312744922895,1010
2025-10-07 09:06:00,100.6,101.1,100.1,100.693035834652,1049
2025-10-07 09:07:00,100.7,101.2,100.2,100.562951306423,1068
2025-10-07 09:08:00,100.8,101.3,100.3,100.605541646623,1158
2025-10-07 09:09:00,100.9,101.4,100.4,100.603409338278,1039
2025-10-07 09:10:00,101,101.5,100.5,100.947729348041,1125
2025-10-07 09:11:00,101.1,101.6,100.6,101.099815230025,1078
2025-10-07 09:12:00,101.2,101.7,100.7,101.331202029451,1137
2025-10-07 09:13:00,101.3,101.8,100.8,101.514916081501,1153
2025-10-07 09:14:00,101.4,101.9,100.9,101.147733127534,1109
2025-10-07 09:15:00,101.5,102,101,101.618096620412,1124
2025-10-07 09:16:00,101.6,102.1,101.1,101.566587500026,1168
2025-10-07 09:17:00,101.7,102.2,101.2,101.820839869799,1199
2025-10-07 09:18:00,101.8,102.3,101.3,102.069740945366,1006
2025-10-07 09:19:00,101.9,102.4,101.4,101.652167145932,1167
2025-10-07 09:20:00,102,102.5,101.5,102.188607391011,1184
2025-10-07 09:21:00,102.1,102.6,101.6,102.236980981769,1095
2025-10-07 09:22:00,102.2,102.7,101.7,102.30675064605,1192
2025-10-07 09:23:00,102.3,102.8,101.8,102.239949170519,1060
2025-10-07 09:24:00,102.4,102.9,101.9,102.53294964844,1084
2025-10-07 09:25:00,102.5,103,102,102.291517804513,1119
2025-10-07 09:26:00,102.6,103.1,102.1,102.877301364475,1144
2025-10-07 09:27:00,102.7,103.2,102.2,102.712284706865,1092
2025-10-07 09:28:00,102.8,103.3,102.3,102.61104015946,1192
2025-10-07 09:29:00,102.9,103.4,102.4,103.172848705842,1017
2025-10-07 09:30:00,103,103.5,102.5,102.736025656777,1090
2025-10-07 09:31:00,103.1,103.6,102.6,102.9036788994,1161
2025-10-07 09:32:00,103.2,103.7,102.7,103.024096987827,1175
2025-10-07 09:33:00,103.3,103.8,102.8,103.205515689219,1047
2025-10-07 09:34:00,103.4,103.9,102.9,103.335972404497,1124
2025-10-07 09:35:00,103.5,104,103,103.250425908645,1140
2025-10-07 09:36:00,103.6,104.1,103.1,103.392297324302,1095
2025-10-07 09:37:00,103.7,104.2,103.2,103.490317618516,1038
2025-10-07 09:38:00,103.8,104.3,103.3,103.912021155195,1090
